"StateFIPS","State","CountyFIPS","County","Year","Percent_Poverty"
6,"California","6071","San Bernardino","2018",14.9
6,"California","6073","San Diego","2018",11.5
6,"California","6075","San Francisco","2018",10.1
6,"California","6077","San Joaquin","2018",14.3
6,"California","6079","San Luis Obispo","2018",12.7
6,"California","6081","San Mateo","2018",6.8
6,"California","6083","Santa Barbara","2018",12.6
6,"California","6085","Santa Clara","2018",7.3
6,"California","6087","Santa Cruz","2018",12.2
6,"California","6089","Shasta","2018",15.2
6,"California","6091","Sierra","2018",13.3
6,"California","6093","Siskiyou","2018",17.1
6,"California","6095","Solano","2018",7.9
6,"California","6097","Sonoma","2018",9.9
6,"California","6099","Stanislaus","2018",15.6
6,"California","6101","Sutter","2018",13.5
6,"California","6103","Tehama","2018",17
6,"California","6105","Trinity","2018",21.6
6,"California","6107","Tulare","2018",22.2
6,"California","6109","Tuolumne","2018",12.5
6,"California","6111","Ventura","2018",9.1
6,"California","6113","Yolo","2018",20.1
6,"California","6115","Yuba","2018",17.2
6,"California","6001","Alameda","2019",8.9
6,"California","6003","Alpine","2019",17.2
6,"California","6005","Amador","2019",9.8
6,"California","6007","Butte","2019",16.1
6,"California","6009","Calaveras","2019",12.1
6,"California","6011","Colusa","2019",12
6,"California","6013","Contra Costa","2019",7.9
6,"California","6015","Del Norte","2019",17.9
6,"California","6017","El Dorado","2019",8.7
6,"California","6019","Fresno","2019",20.5
6,"California","6021","Glenn","2019",12.1
6,"California","6023","Humboldt","2019",19.1
6,"California","6025","Imperial","2019",22
6,"California","6027","Inyo","2019",11.7
6,"California","6029","Kern","2019",19
6,"California","6031","Kings","2019",16
6,"California","6033","Lake","2019",18.3
6,"California","6035","Lassen","2019",16.5
6,"California","6037","Los Angeles","2019",13.4
6,"California","6039","Madera","2019",17.6
6,"California","6041","Marin","2019",6.9
6,"California","6043","Mariposa","2019",15.1
6,"California","6045","Mendocino","2019",14
6,"California","6047","Merced","2019",17
6,"California","6049","Modoc","2019",20.5
6,"California","6051","Mono","2019",10.1
6,"California","6053","Monterey","2019",12.6
6,"California","6055","Napa","2019",7.4
6,"California","6057","Nevada","2019",9.4
6,"California","6059","Orange","2019",9.5
6,"California","6061","Placer","2019",6.6
6,"California","6063","Plumas","2019",13.2
6,"California","6065","Riverside","2019",11.3
6,"California","6067","Sacramento","2019",12.6
6,"California","6069","San Benito","2019",10.4
6,"California","6071","San Bernardino","2019",13.3
6,"California","6073","San Diego","2019",10.3
6,"California","6075","San Francisco","2019",9.5
6,"California","6077","San Joaquin","2019",13.6
6,"California","6079","San Luis Obispo","2019",11.6
6,"California","6081","San Mateo","2019",6.1
6,"California","6083","Santa Barbara","2019",12
6,"California","6085","Santa Clara","2019",6.1
6,"California","6087","Santa Cruz","2019",10.6
6,"California","6089","Shasta","2019",13.3
6,"California","6091","Sierra","2019",12.7
6,"California","6093","Siskiyou","2019",17.4
6,"California","6095","Solano","2019",9
6,"California","6097","Sonoma","2019",7.2
6,"California","6099","Stanislaus","2019",13
6,"California","6101","Sutter","2019",12.8
6,"California","6103","Tehama","2019",16.3
6,"California","6105","Trinity","2019",16.5
6,"California","6107","Tulare","2019",18.9
6,"California","6109","Tuolumne","2019",11.3
